,0,1,2,3
263,1.0,2.153,218.0,12.03
264,1.0,0.699,20.0,0.89
265,0.0,0.602,88.0,3.13
266,0.0,0.168,5.0,2.42
267,0.0,0.314,86.0,3.4
268,0.0,0.11,2.0,0.45
269,0.0,0.11,2.0,0.45
270,2.0,0.536,90.0,5.82
271,1.0,0.734,114.0,2.89
272,0.0,0.326,189.0,4.4
273,0.0,0.314,86.0,3.4
274,3.0,0.247,46.0,1.82
275,0.0,0.11,2.0,0.45
276,1.0,0.846,169.0,3.56
277,0.0,0.326,189.0,4.4
278,0.0,0.11,2.0,0.45
279,0.0,0.314,86.0,3.4
280,0.0,0.166,10.0,0.0
281,0.0,0.11,2.0,0.45
282,1.0,1.005,144.0,8.0
283,2.0,0.426,27.0,2.7
284,0.0,0.129,3.0,0.0
285,2.0,0.416,88.0,2.87
286,0.0,0.11,2.0,0.45
287,0.0,0.11,2.0,0.45
288,0.0,0.11,2.0,0.45
289,0.0,0.11,2.0,0.45
290,0.0,0.602,88.0,3.13
291,0.0,4.392,1.0,0.0
292,0.0,0.11,2.0,0.45
293,0.0,0.314,86.0,3.4
294,1.0,1.614,150.0,4.69
295,4.0,0.21,58.0,0.77
296,4.0,0.21,58.0,0.77
297,0.0,0.11,2.0,0.45
298,0.0,0.11,2.0,0.45
299,0.0,0.229,9.0,2.58
300,2.0,0.59,69.0,3.54
301,0.0,0.11,2.0,0.45
302,0.0,0.11,2.0,0.45
303,0.0,0.326,189.0,4.4
304,0.0,0.11,2.0,0.45
305,0.0,0.278,15.0,4.51
306,0.0,0.11,2.0,0.45
307,0.0,0.11,2.0,0.45
308,0.0,0.11,2.0,0.45
309,2.0,0.859,108.0,3.12
310,1.0,2.887,135.0,13.28
311,1.0,2.887,135.0,13.28
312,0.0,0.106,2.0,0.0
313,0.0,0.1,3.0,0.0
314,0.0,0.11,2.0,0.45
315,1.0,0.733,122.0,5.17
316,0.0,0.812,18.0,0.0
317,0.0,0.326,189.0,4.4
318,0.0,0.11,2.0,0.45
319,0.0,0.132,7.0,0.74
320,0.0,0.278,15.0,4.51
321,0.0,0.11,2.0,0.45
322,0.0,0.3,17.0,0.0
323,0.0,1.0,2.0,0.0
324,2.0,0.536,90.0,5.82
325,0.0,0.279,30.0,0.0
326,0.0,0.11,2.0,0.45
327,0.0,0.11,2.0,0.45
328,0.0,0.11,2.0,0.45
329,0.0,0.185,20.0,0.56
330,2.0,0.266,20.0,1.23
331,0.0,0.326,189.0,4.4
332,0.0,0.314,86.0,3.4
333,0.0,0.128,8.0,1.24
334,0.0,0.11,2.0,0.45
335,0.0,0.11,2.0,0.45
336,0.0,0.279,30.0,0.0
337,0.0,0.314,86.0,3.4
338,0.0,0.114,4.0,1.47
339,0.0,0.251,14.0,0.0
340,0.0,0.602,88.0,3.13
341,2.0,0.416,88.0,2.87
342,0.0,0.154,7.0,0.0
343,0.0,0.152,7.0,0.0
344,1.0,1.191,56.0,2.44
345,1.0,0.964,40.0,4.21
346,0.0,0.512,37.0,0.0
347,0.0,0.189,12.0,0.0
348,0.0,0.512,37.0,0.0
349,0.0,0.189,12.0,0.0
350,0.0,0.11,2.0,0.45
351,0.0,0.511,33.0,6.42
352,0.0,0.512,37.0,0.0
353,0.0,0.11,2.0,0.45
354,0.0,0.602,88.0,3.13
355,0.0,0.11,2.0,0.45
356,0.0,0.602,88.0,3.13
357,0.0,0.11,2.0,0.45
358,0.0,0.602,88.0,3.13
359,0.0,0.11,2.0,0.45
360,0.0,0.11,2.0,0.45
361,0.0,0.11,2.0,0.45
362,0.0,0.11,2.0,0.45
363,0.0,0.314,86.0,3.4
364,0.0,0.3,17.0,0.0
365,0.0,0.11,2.0,0.45
366,0.0,0.602,88.0,3.13
367,0.0,0.11,2.0,0.45
368,0.0,0.602,88.0,3.13
369,0.0,0.11,2.0,0.45
370,0.0,0.11,2.0,0.45
371,0.0,0.11,2.0,0.45
372,0.0,0.11,2.0,0.45
373,0.0,0.326,189.0,4.4
374,0.0,0.469,24.0,8.48
375,0.0,0.278,15.0,4.51
376,0.0,0.602,88.0,3.13
377,2.0,0.59,69.0,3.54
378,0.0,0.11,2.0,0.45
379,0.0,0.512,37.0,0.0
380,0.0,0.11,2.0,0.45
381,0.0,0.3,17.0,0.0
382,0.0,0.123,11.0,1.02
383,0.0,0.211,11.0,0.0
384,0.0,0.251,14.0,0.0
385,1.0,0.858,36.0,4.25
386,3.0,0.247,46.0,1.82
387,2.0,0.416,88.0,2.87
388,0.0,0.108,3.0,0.54
389,0.0,0.197,2.0,0.81
390,0.0,0.279,30.0,0.0
391,1.0,0.587,127.0,4.48
392,0.0,0.108,3.0,0.54
393,0.0,0.269,19.0,0.0
394,0.0,0.11,2.0,0.45
395,0.0,0.11,2.0,0.45
396,0.0,0.11,2.0,0.45
397,0.0,0.512,37.0,0.0
398,0.0,0.512,51.0,2.38
399,0.0,0.597,123.0,3.02
400,0.0,0.258,12.0,0.0
401,1.0,0.964,40.0,4.21
402,0.0,0.498,47.0,2.64
403,0.0,0.498,47.0,2.64
404,0.0,0.314,86.0,3.4
405,1.0,0.914,63.0,9.8
406,3.0,0.328,82.0,2.12
407,0.0,0.155,14.0,0.56
408,0.0,0.242,9.0,1.43
409,0.0,0.11,2.0,0.45
410,0.0,0.11,2.0,0.45
411,0.0,0.11,2.0,0.45
412,0.0,0.112,6.0,0.0
413,0.0,0.602,88.0,3.13
414,2.0,0.266,20.0,1.23
415,0.0,0.326,189.0,4.4
416,0.0,0.153,10.0,0.0
417,0.0,0.469,24.0,8.48
418,0.0,0.326,189.0,4.4
419,0.0,0.101,9.0,0.0
420,3.0,0.282,80.0,1.04
421,1.0,1.24,213.0,4.13
422,0.0,1.0,2.0,0.0
423,0.0,0.153,10.0,0.0
424,0.0,0.326,189.0,4.4
425,0.0,0.314,86.0,3.4
426,0.0,0.153,10.0,0.0
427,0.0,0.314,86.0,3.4
428,0.0,0.314,86.0,3.4
429,0.0,0.153,10.0,0.0
430,0.0,0.602,88.0,3.13
431,0.0,0.11,2.0,0.45
432,0.0,1.0,2.0,0.0
433,0.0,0.11,2.0,0.45
434,0.0,0.11,2.0,0.45
435,0.0,0.153,10.0,0.0
436,0.0,0.11,2.0,0.45
437,0.0,0.11,2.0,0.45
438,0.0,0.203,8.0,4.43
439,0.0,0.314,86.0,3.4
440,0.0,0.11,2.0,0.45
441,0.0,0.11,2.0,0.45
442,0.0,0.11,2.0,0.45
443,0.0,0.11,2.0,0.45
444,0.0,0.11,2.0,0.45
445,0.0,0.397,28.0,7.16
446,0.0,0.323,43.0,0.89
447,1.0,2.153,218.0,12.03
448,0.0,0.511,33.0,6.42
449,0.0,0.279,30.0,0.0
450,0.0,0.11,2.0,0.45
451,0.0,0.512,37.0,0.0
452,0.0,0.3,17.0,0.0
453,0.0,0.279,30.0,0.0
454,0.0,0.3,17.0,0.0
455,2.0,0.451,12.0,3.26
456,0.0,0.11,2.0,0.45
457,0.0,0.11,2.0,0.45
458,0.0,0.11,2.0,0.45
459,0.0,0.326,189.0,4.4
460,0.0,0.279,30.0,0.0
461,0.0,0.11,2.0,0.45
462,0.0,0.3,17.0,0.0
463,0.0,0.11,2.0,0.45
464,0.0,0.11,2.0,0.45
465,0.0,0.11,2.0,0.45
466,0.0,0.11,2.0,0.45
467,0.0,0.11,2.0,0.45
468,0.0,0.153,10.0,0.0
469,1.0,1.614,150.0,4.69
470,0.0,0.512,51.0,2.38
471,0.0,0.108,3.0,0.54
472,2.0,0.59,69.0,3.54
473,0.0,0.11,2.0,0.45
474,0.0,0.411,7.0,0.0
475,0.0,0.11,2.0,0.45
476,4.0,0.21,58.0,0.77
477,0.0,0.11,2.0,0.45
478,0.0,0.11,2.0,0.45
479,0.0,0.11,2.0,0.45
480,0.0,0.536,33.0,0.0
481,0.0,0.153,10.0,0.0
482,0.0,0.11,2.0,0.45
483,0.0,0.126,7.0,1.21
484,2.0,0.59,69.0,3.54
485,0.0,0.314,86.0,3.4
486,1.0,0.733,122.0,5.17
487,0.0,0.194,4.0,0.59
488,0.0,0.915,187.0,5.75
489,0.0,0.35,18.0,2.17
490,1.0,0.581,64.0,2.9
491,0.0,0.11,2.0,0.45
492,0.0,0.11,2.0,0.45
493,1.0,0.808,118.0,4.72
494,2.0,0.466,64.0,2.04
495,0.0,0.254,83.0,1.31
496,0.0,0.133,18.0,0.0
497,0.0,0.11,2.0,0.45
498,0.0,0.139,9.0,0.0
