,journalName
655500,IEEE Transactions on Knowledge and Data Engineering
487802,Proceedings of the 26th International Conference on World Wide Web
1599345,2016 IEEE 16th International Conference on Data Mining (ICDM)
2364786,IEEE Transactions on Cybernetics
1818849,IEEE Transactions on Cybernetics
32910,Robotics Auton. Syst.
688269,Eng. Appl. Artif. Intell.
295055,Computer Supported Cooperative Work (CSCW)
1352157,Proceedings of the ACM 2011 conference on Computer supported cooperative work
1474703,Proceedings of the 9th Nordic Conference on Human-Computer Interaction
1255293,Proceedings of the first ACM SIGCHI annual symposium on Computer-human interaction in play
1948835,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
986679,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1900691,2016 Fourth International Conference on 3D Vision (3DV)
338433,ACM Transactions on Graphics (TOG)
2098151,2013 IEEE Conference on Computer Vision and Pattern Recognition
1100449,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
832940,2013 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)
1802391,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
2239210,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1551323,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
82103,ACM Trans. Comput. Hum. Interact.
229527,IEEE Internet Computing
1704096,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
2190529,Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work & Social Computing
2392375,Interactions
2358093,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
648785,Computer
2031781,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems
1627682,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2588543,Proceedings of the 2013 conference on Computer supported cooperative work
2523301,2015 IEEE Symposium on 3D User Interfaces (3DUI)
1824516,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1466433,IEEE Transactions on Visualization and Computer Graphics
721068,Computational and Mathematical Organization Theory
1999024,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational"
127617,Personal and Ubiquitous Computing
2629517,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2658319,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1581633,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1953515,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
179,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
247543,Proceedings of the 22nd international conference on World Wide Web
865934,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2390664,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing
309083,Journal of the American Medical Informatics Association : JAMIA
2490549,ArXiv
2481346,ArXiv
2490550,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems
186112,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1404982,Proceedings of the 20th International ACM SIGACCESS Conference on Computers and Accessibility
962222,Human–Computer Interaction
2212834,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
2008246,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
2145706,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems
907555,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems
892600,Proceedings of the 2018 Designing Interactive Systems Conference
2674252,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
2294052,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
2050984,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
688309,Progress in biophysics and molecular biology
1453606,Medical image analysis
1169291,Medical image analysis
1063055,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention
1310904,Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction
1580850,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
